endpoint,started_at,duration_ms,status,error_type,retry_count,symbol
broker.fetch_bars,2026-06-25T01:41:06.093226+00:00,4463.3,error,SourceRateLimitError,0,MU
broker.fetch_bars,2026-06-25T01:41:06.093693+00:00,4501.7,ok,,0,LRCX
broker.fetch_bars,2026-06-25T01:41:06.094602+00:00,4728.1,ok,,0,INTC
broker.fetch_bars,2026-06-25T01:41:10.556370+00:00,492.5,ok,,0,CHPX
broker.fetch_bars,2026-06-25T01:41:09.156777+00:00,1992.6,ok,,0,ASML
broker.fetch_bars,2026-06-25T01:41:08.124184+00:00,4437.6,error,SourceRateLimitError,0,AMAT
broker.fetch_bars,2026-06-25T01:41:08.102458+00:00,4470.1,ok,,0,CHPS
broker.fetch_bars,2026-06-25T01:41:08.123056+00:00,4470.3,ok,,0,AMD
broker.fetch_bars,2026-06-25T01:41:08.125213+00:00,4468.6,ok,,0,SOXQ
broker.fetch_account,2026-06-25T02:08:41.189658+00:00,501.0,ok,,0,
broker.fetch_positions,2026-06-25T02:08:43.671579+00:00,478.9,ok,,0,
broker.fetch_bars,2026-06-25T02:08:46.857591+00:00,490.2,ok,,0,FTXL
broker.fetch_bars,2026-06-25T02:08:46.855511+00:00,2012.1,ok,,0,MU
broker.fetch_bars,2026-06-25T02:08:46.870338+00:00,2004.1,ok,,0,DELL
broker.fetch_bars,2026-06-25T02:08:47.350043+00:00,2003.3,ok,,0,CRDO
broker.fetch_bars,2026-06-25T02:08:49.355383+00:00,514.3,ok,,0,AMAT
broker.fetch_bars,2026-06-25T02:08:49.871823+00:00,506.4,ok,,0,SOXQ
broker.fetch_bars,2026-06-25T02:08:46.855923+00:00,4461.6,error,SourceRateLimitError,0,LRCX
broker.fetch_bars,2026-06-25T02:08:46.854684+00:00,4463.4,error,SourceRateLimitError,0,SOXX
broker.fetch_bars,2026-06-25T02:08:46.856771+00:00,4464.7,error,SourceRateLimitError,0,INTC
broker.fetch_bars,2026-06-25T02:08:46.856352+00:00,4468.7,error,SourceRateLimitError,0,KLAC
broker.fetch_bars,2026-06-25T02:08:46.855169+00:00,4470.0,error,SourceRateLimitError,0,NBIS
broker.fetch_bars,2026-06-25T02:08:50.380329+00:00,2022.5,ok,,0,SMH
broker.fetch_bars,2026-06-25T02:08:51.317896+00:00,1976.9,ok,,0,CHPX
broker.fetch_bars,2026-06-25T02:08:51.317453+00:00,1991.9,ok,,0,ASML
broker.fetch_bars,2026-06-25T02:08:48.869674+00:00,4463.0,error,SourceRateLimitError,0,CHPS
broker.fetch_bars,2026-06-25T02:08:48.875859+00:00,4460.8,error,SourceRateLimitError,0,AMD
broker.fetch_account,2026-06-25T02:08:57.136590+00:00,495.6,ok,,0,
broker.fetch_positions,2026-06-25T02:08:59.423228+00:00,480.9,ok,,0,
broker.fetch_bars,2026-06-25T02:09:02.480782+00:00,2007.4,ok,,0,LRCX
broker.fetch_bars,2026-06-25T02:09:02.479207+00:00,2041.0,ok,,0,SOXX
broker.fetch_bars,2026-06-25T02:09:04.490333+00:00,2004.6,ok,,0,CRDO
broker.fetch_bars,2026-06-25T02:09:04.521689+00:00,1989.6,ok,,0,CHPS
broker.fetch_bars,2026-06-25T02:09:02.479778+00:00,4468.1,error,SourceRateLimitError,0,NBIS
broker.fetch_bars,2026-06-25T02:09:02.481163+00:00,4470.5,error,SourceRateLimitError,0,KLAC
broker.fetch_bars,2026-06-25T02:09:02.482394+00:00,4470.6,ok,,0,FTXL
broker.fetch_bars,2026-06-25T02:09:02.481974+00:00,4492.8,ok,,0,INTC
broker.fetch_bars,2026-06-25T02:09:02.485077+00:00,4491.8,ok,,0,DELL
broker.fetch_bars,2026-06-25T02:09:02.480198+00:00,4507.0,ok,,0,MU
broker.fetch_bars,2026-06-25T02:09:06.496153+00:00,2000.2,ok,,0,AMD
broker.fetch_bars,2026-06-25T02:09:06.512184+00:00,1994.2,ok,,0,AMAT
broker.fetch_bars,2026-06-25T02:09:06.954759+00:00,4445.0,error,SourceRateLimitError,0,ASML
broker.fetch_bars,2026-06-25T02:09:06.975473+00:00,4424.4,error,SourceRateLimitError,0,CHPX
broker.fetch_bars,2026-06-25T02:09:06.947743+00:00,4453.3,error,SourceRateLimitError,0,SOXQ
broker.fetch_bars,2026-06-25T02:09:06.951522+00:00,4479.1,ok,,0,SMH
broker.fetch_account,2026-06-25T02:09:17.922218+00:00,490.8,ok,,0,
broker.fetch_positions,2026-06-25T02:09:20.157584+00:00,483.2,ok,,0,
broker.fetch_bars,2026-06-25T02:09:23.250773+00:00,482.1,ok,,0,FTXL
broker.fetch_bars,2026-06-25T02:09:23.249916+00:00,512.3,ok,,0,INTC
broker.fetch_bars,2026-06-25T02:09:23.735140+00:00,530.7,ok,,0,CRDO
broker.fetch_bars,2026-06-25T02:09:23.248621+00:00,2005.2,ok,,0,MU
broker.fetch_bars,2026-06-25T02:09:23.247760+00:00,2015.5,ok,,0,SOXX
broker.fetch_bars,2026-06-25T02:09:25.264371+00:00,502.6,ok,,0,SOXQ
broker.fetch_bars,2026-06-25T02:09:25.255782+00:00,514.4,ok,,0,AMAT
broker.fetch_bars,2026-06-25T02:09:24.267943+00:00,2015.3,ok,,0,AMD
broker.fetch_bars,2026-06-25T02:09:23.249483+00:00,4457.6,error,SourceRateLimitError,0,KLAC
broker.fetch_bars,2026-06-25T02:09:23.249051+00:00,4462.1,error,SourceRateLimitError,0,LRCX
broker.fetch_bars,2026-06-25T02:09:23.248246+00:00,4480.6,error,SourceRateLimitError,0,NBIS
broker.fetch_bars,2026-06-25T02:09:23.763769+00:00,4466.0,ok,,0,CHPS
broker.fetch_bars,2026-06-25T02:09:25.772192+00:00,4461.4,ok,,0,ASML
broker.fetch_bars,2026-06-25T02:09:25.769010+00:00,4481.8,ok,,0,SMH
broker.fetch_bars,2026-06-25T02:09:26.294804+00:00,4465.9,error,SourceRateLimitError,0,CHPX
broker.fetch_bars,2026-06-25T02:09:23.260326+00:00,15497.4,ok,,0,DELL
broker.fetch_account,2026-06-25T02:10:33.550520+00:00,496.5,ok,,0,
broker.fetch_positions,2026-06-25T02:10:36.041048+00:00,485.7,ok,,0,
broker.fetch_bars,2026-06-25T02:10:39.165520+00:00,512.9,ok,,0,LRCX
broker.fetch_bars,2026-06-25T02:10:39.680675+00:00,528.3,ok,,0,CRDO
broker.fetch_bars,2026-06-25T02:10:40.211128+00:00,481.5,ok,,0,CHPS
broker.fetch_bars,2026-06-25T02:10:39.166379+00:00,2001.3,ok,,0,INTC
broker.fetch_bars,2026-06-25T02:10:40.703560+00:00,2013.4,ok,,0,AMD
broker.fetch_bars,2026-06-25T02:10:41.169753+00:00,2021.1,ok,,0,AMAT
broker.fetch_bars,2026-06-25T02:10:42.718969+00:00,502.7,ok,,0,SOXQ
broker.fetch_bars,2026-06-25T02:10:39.166025+00:00,4450.8,error,SourceRateLimitError,0,KLAC
broker.fetch_bars,2026-06-25T02:10:39.164146+00:00,4456.1,error,SourceRateLimitError,0,SOXX
broker.fetch_bars,2026-06-25T02:10:39.164680+00:00,4455.7,error,SourceRateLimitError,0,NBIS
broker.fetch_bars,2026-06-25T02:10:39.167218+00:00,4454.1,ok,,0,FTXL
broker.fetch_bars,2026-06-25T02:10:39.165074+00:00,4475.2,ok,,0,MU
broker.fetch_bars,2026-06-25T02:10:39.174174+00:00,4477.0,ok,,0,DELL
broker.fetch_bars,2026-06-25T02:10:43.616651+00:00,483.4,ok,,0,CHPX
broker.fetch_bars,2026-06-25T02:10:43.192891+00:00,4491.3,ok,,0,SMH
broker.fetch_bars,2026-06-25T02:10:43.222755+00:00,4496.7,ok,,0,ASML
broker.fetch_account,2026-06-25T02:11:04.973470+00:00,488.3,ok,,0,
broker.fetch_positions,2026-06-25T02:11:07.274333+00:00,485.6,ok,,0,
broker.fetch_bars,2026-06-25T02:11:10.353334+00:00,1970.4,ok,,0,FTXL
broker.fetch_bars,2026-06-25T02:11:10.351219+00:00,1992.1,ok,,0,MU
broker.fetch_bars,2026-06-25T02:11:10.350814+00:00,2009.9,ok,,0,NBIS
broker.fetch_bars,2026-06-25T02:11:10.352514+00:00,2009.3,ok,,0,INTC
broker.fetch_bars,2026-06-25T02:11:10.350258+00:00,2012.7,ok,,0,SOXX
broker.fetch_bars,2026-06-25T02:11:10.351671+00:00,2016.3,ok,,0,LRCX
broker.fetch_bars,2026-06-25T02:11:12.358127+00:00,490.7,ok,,0,CHPS
broker.fetch_bars,2026-06-25T02:11:12.325879+00:00,525.4,ok,,0,CRDO
broker.fetch_bars,2026-06-25T02:11:12.363528+00:00,1991.3,ok,,0,SOXQ
broker.fetch_bars,2026-06-25T02:11:12.361408+00:00,2003.3,ok,,0,AMD
broker.fetch_bars,2026-06-25T02:11:10.356587+00:00,4463.1,error,SourceRateLimitError,0,DELL
broker.fetch_bars,2026-06-25T02:11:10.352120+00:00,4471.0,error,SourceRateLimitError,0,KLAC
broker.fetch_bars,2026-06-25T02:11:12.850250+00:00,2005.8,ok,,0,ASML
broker.fetch_bars,2026-06-25T02:11:12.368488+00:00,4461.6,error,SourceRateLimitError,0,SMH
broker.fetch_bars,2026-06-25T02:11:12.362426+00:00,4475.6,error,SourceRateLimitError,0,AMAT
broker.fetch_bars,2026-06-25T02:11:12.852406+00:00,4455.4,error,SourceRateLimitError,0,CHPX
